Tara												Capitala									Moneda
=======================================================================================================
Abhazia												Suhumi										Rublă rusă (RUB)
Afganistan											Kabul										Afghani (AFN)
Africa de Sud										Pretoria, Cape Town, Bloemfontein			Rand (ZAR)
Akrotiri si Dhekelia								Cantonamentul Eiskopi						Euro (EUR)
Albania												Tirana										Lek albanez (ALL)
Algeria												Alger										Dinar algerian (DZD)
Andorra												Andorra la Vella							Euro (EUR)
Angola												Luanda						
Anguilla											The Valley
Antigua si Barbuda									St. John's
Arabia Saudita										Riad
Argentina											Buenos Aires
Armenia												Erevan
Aruba												Oranjestad
Insula Ascension									Georgetown
Australia											Canberra
Austria												Viena
Azerbaidjan											Baku
Bahamas												Nassau
Bahrain												Manama
Bangladesh											Dhaka
Barbados											Bridgetown
Belarus												Minsk
Belgia												Bruxelles
Benin												Porto-Novo, Cotonou
Bhutan												Thimphu
Bolivia												Sucre, La Paz
Bosnia si Hertegovina								Sarajevo
Botswana											Gaborone
Brazilia											Brasília
Brunei												Bandar Seri Begawan
Bulgaria											Sofia
Burkina Faso										Ouagadougou
Burundi												Gitega
Cambodgia											Phonom Penh
Camerun												Yaoundé
Canada												Ottawa
Capul Verde											Praia
Cehia												Praga
Chile												Santiago, Valparaíso
China												Beijing
Ciad												N'Djamena
Cirpu, Cipru de Nord								Nicosia
Coasta de Fildes									Yamoussoukro, Abidjan
Columbia											Bogota
Comore												Moroni
Coreea de Nord										Phenian
Coreea de Sud										Seul
Costa Rica											San José
Croatia												Zagreb
Cuba												Havana
Curaçao												Willemstad
Danemarca											Copenhaga
Djibouti											Djibouti
Dominica											Roseau
Ecuador												Quito
Egipt												Cairo
El Salvador											San Salvador
Elveția												Berna
Emiratele Arabe Unite								Abu Dhabi
Eritreea											Asmara
Estonia												Tallinn
Eswatini											Mbabane, Lobamba
Etiopia												Addis Abeba
Fiji												Suva
Filipine											Manila
Finlanda											Helsinki
Franța												Paris
Saint-Barthélemy									Gustavia
Saint-Martin										Marigot
Saint-Pierre și Miquelon							Saint-Pierre
Wallis și Futuna									Mata-Utu
Gabon												Libreville
Gambia												Banjul
Georgia												Tbilisi
Georgia de Sud și Insulele Sandwich de Sud 			King Edward Point
Germania											Berlin
Ghana												Accra
Gibraltar											Gibraltar
Grecia												Atena
Grenada												St. George's
Groenlanda											Nuuk
Guam												Hagåtña
Guatemala											Ciudad de Guatemala
Guernsey											Saint Peter Port
Guineea												Conakry
Guineea Ecuatorială									Malabo
Guineea-Bissau										Bissau
Guyana												Georgetown
Haiti												Port-au-Prince
Honduras											Tegucigalpa
India												New Delhi
Indonezia											Jakarta
Insula Crăciunului									Flying Fish Cove
Insula Man											Douglas
Insula Norfolk										Kingston
Insula Paștelui										Hanga Roa
Insulele Bermude									Hamilton
Insulele Cayman										George Town
Insulele Cocos										West Island
Insulele Cook										Avarua
Insulele Falkland									Stanley
Insulele Feroe										Tórshavn
Insulele Mariane de Nord							Saipan
Insulele Marshall									Majuro
